word,emotion
outraged,anger
brutality,anger
hatred,anger
hateful,anger
terrorize,anger
infuriated,anger
violently,anger
furious,anger
enraged,anger
furiously,anger
screwyou,anger
murderer,anger
fury,anger
execution,anger
angered,anger
savagery,anger
slaughtering,anger
veryangry,anger
assassinate,anger
fuckoff,anger
annihilation,anger
rage,anger
loathe,anger
damnation,anger
roadrage,anger
fucktard,anger
homicidal,anger
furor,anger
hostile,anger
annihilate,anger
murder,anger
raging,anger
sopissed,anger
pissed,anger
rape,anger
explosive,anger
obliterated,anger
vengeful,anger
ferocious,anger
infuriates,anger
killing,anger
combative,anger
gofuckyourself,anger
vengeance,anger
wrath,anger
torment,anger
vicious,anger
threatening,anger
massacre,anger
bloodthirsty,anger
abhorrent,anger
pissoff,anger
fighting,anger
annihilated,anger
attacking,anger
angriest,anger
bloodshed,anger
smite,anger
brawl,anger
assault,anger
assassination,anger
strangle,anger
explode,anger
malicious,anger
tirade,anger
hostility,anger
loathsome,anger
attack,anger
hell,anger
murderous,anger
malice,anger
terrorism,anger
beating,anger
pissingmeoff,anger
desecration,anger
outrage,anger
irate,anger
tumultuous,anger
destroying,anger
violent,anger
stab,anger
infuriate,anger
slaughter,anger
abomination,anger
obliterate,anger
dumbbitch,anger
belligerent,anger
detest,anger
hostilities,anger
prick,anger
cruelty,anger
horrid,anger
rampage,anger
rabid,anger
torture,anger
satanic,anger
hate,anger
hating,anger
tyrannical,anger
demonic,anger
ragemode,anger
despicable,anger
ruinous,anger
condemn,anger
extermination,anger
riots,anger
dickhead,anger
angry,anger
demolish,anger
livid,anger
madman,anger
vindictive,anger
ferocity,anger
terrorist,anger
venomous,anger
threaten,anger
hateyou,anger
effyou,anger
abhor,anger
carnage,anger
savage,anger
atrocity,anger
fuming,anger
pissedoff,anger
pissesmeoff,anger
fierce,anger
abuse,anger
barbaric,anger
berserk,anger
fucksake,anger
vendetta,anger
angrytweet,anger
destroyer,anger
tyrant,anger
anger,anger
pieceofshit,anger
slam,anger
punching,anger
homicide,anger
punched,anger
bitch,anger
fights,anger
